venue,matches_played,city,likely_country,country,how,confidence
Docklands Stadium,5,Melbourne,Australia,Australia,agree,high
MA Chidambaram Stadium,5,Chennai,India,India,agree,high
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,5,,India,India,agree,high
Grace Road,5,,England,England,uk,high
Nondescripts Cricket Club Ground,5,Colombo,Sri Lanka,Sri Lanka,agree,high
R.Premadasa Stadium,5,Colombo,Sri Lanka,Sri Lanka,agree,high
JSCA International Stadium Complex,5,Ranchi,India,India,agree,high
Junction Oval,5,,Australia,Australia,agree,high
Eden Park,5,,New Zealand,New Zealand,agree,high
The Rose Bowl,5,,England,England,uk,high
Sophia Gardens,5,,England,England,uk,high
Mangaung Oval,5,Bloemfontein,South Africa,South Africa,agree,high
Willowmoore Park,4,,South Africa,South Africa,agree,high
Old Trafford,4,,England,England,uk,high
W.A.C.A. Ground,4,Perth,Australia,Australia,agree,high
AMI Stadium,4,Christchurch,New Zealand,New Zealand,agree,high
Bellerive Oval,4,,Australia,Australia,agree,high
North Sydney Oval,4,,Australia,Australia,agree,high
Perth Stadium,4,Perth,Australia,Australia,agree,high
County Ground,4,,England,England,uk,high
Trent Bridge,4,,England,England,uk,high
Cazaly's Stadium,4,,Australia,Australia,agree,high
County Ground,4,,England,England,uk,high
County Ground,4,,England,England,uk,high
Shaheed Chandu Stadium,4,Bogra,Bangladesh,Bangladesh,agree,high
Iqbal Stadium,4,,Pakistan,Pakistan,agree,high
Kotambi Stadium,4,,India,India,agree,high
Malahide,4,Malahide,Ireland,Ireland,agree,high
Headingley,4,,England,England,uk,high
The Cooper Associates County Ground,4,,England,England,uk,high
Boland Park,4,,South Africa,South Africa,agree,high
Iqbal Stadium,4,Faisalabad,Pakistan,Pakistan,agree,high
Arbab Niaz Stadium,3,Peshawar,Pakistan,Pakistan,agree,high
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,3,Lucknow,India,India,agree,high
MA Aziz Stadium,3,Chattogram,Bangladesh,Bangladesh,agree,high
Diamond Oval,3,,South Africa,South Africa,agree,high
Shahid Kamruzzaman Stadium,3,,Bangladesh,Bangladesh,agree,high
Terdthai Cricket Ground,3,,Thailand,Thailand,agree,high
Holkar Cricket Stadium,3,Indore,India,India,agree,high
Edgbaston,3,,England,England,uk,high
St Lawrence Ground,3,,England,England,uk,high
St Lawrence Ground,3,Canterbury,England,England,uk,high
Jade Stadium,3,Christchurch,New Zealand,New Zealand,agree,high
Southend Club Cricket Stadium,3,,Pakistan,Pakistan,agree,high
North Sydney Oval,3,Sydney,Australia,Australia,agree,high
Ray Mitchell Oval,3,Mackay,Australia,Australia,agree,high
Mission Road Ground,3,,Hong Kong,Hong Kong,agree,high
Marrara Cricket Ground,3,Darwin,Australia,Australia,agree,high
Saxton Oval,3,,New Zealand,New Zealand,agree,high
Punjab Cricket Association IS Bindra Stadium,3,,India,India,agree,high
Titwood,3,,Scotland,Scotland,uk,high
Bangabandhu National Stadium,3,,Bangladesh,Bangladesh,agree,high
Arun Jaitley Stadium,2,Delhi,India,India,agree,high
Barabati Stadium,2,,India,India,agree,high
Bangabandhu National Stadium,2,Dhaka,Bangladesh,Bangladesh,agree,high
Tony Ireland Stadium,2,,Australia,Australia,agree,high
St George's Park,2,,South Africa,South Africa,agree,high
County Ground,2,,England,England,uk,high
North West Cricket Stadium,2,,South Africa,South Africa,agree,high
OUTsurance Oval,2,Bloemfontein,South Africa,South Africa,agree,high
Manuka Oval,2,,Australia,Australia,agree,high
Sardar Patel (Gujarat) Stadium,2,Ahmedabad,India,India,agree,high
Captain Roop Singh Stadium,2,Gwalior,India,India,agree,high
Cobham Oval (New),2,Whangarei,New Zealand,New Zealand,agree,high
North Marine Road Ground,2,Scarborough,England,England,uk,high
Chevrolet Park,2,Bloemfontein,South Africa,South Africa,agree,high
City Oval,2,,South Africa,South Africa,agree,high
Sinhalese Sports Club,2,Colombo,Sri Lanka,Sri Lanka,agree,high
Sheikh Abu Naser Stadium,2,Khulna,Bangladesh,Bangladesh,agree,high
Shaheed Veer Narayan Singh International Stadium,2,,India,India,agree,high
De Beers Diamond Oval,2,Kimberley,South Africa,South Africa,agree,high
JSCA International Stadium Complex,2,,India,India,agree,high
Bundaberg Rum Stadium,2,,Australia,Australia,agree,high
Bharat Ratna Shri Atal Bihari Vajpai Ekana Cricket Stadium,2,Lucknow,India,India,agree,high
International Sports Stadium,2,Coffs Harbour,Australia,Australia,agree,high
Eden Park Outer Oval,2,Auckland,New Zealand,New Zealand,agree,high
Great Barrier Reef Arena,2,,Australia,Australia,agree,high
P Saravanamuttu Stadium,1,Colombo,Sri Lanka,Sri Lanka,agree,high
P Sara Oval,1,,Sri Lanka,Sri Lanka,agree,high
Vidarbha Cricket Association Stadium,1,Nagpur,India,India,agree,high
Vidarbha Cricket Association Ground,1,Nagpur,India,India,agree,high
Sector 16 Stadium,1,Chandigarh,India,India,agree,high
Sedgars Park,1,,South Africa,South Africa,agree,high
Nahar Singh Stadium,1,Faridabad,India,India,agree,high
Captain Roop Singh Stadium,1,,India,India,agree,high
New Williamfield No1 Oval,1,,Scotland,Scotland,uk,high
Westpac Stadium,1,,New Zealand,New Zealand,agree,high
Punjab Cricket Association IS Bindra Stadium,1,Mohali,India,India,agree,high
Eden Park No 2,1,Auckland,New Zealand,New Zealand,agree,high
Sinhalese Sports Club Ground,1,,Sri Lanka,Sri Lanka,agree,high
Keenan Stadium,1,Jamshedpur,India,India,agree,high
Jaffery Sports Club Ground,1,Nairobi,Kenya,Kenya,agree,high
Jade Stadium,1,,New Zealand,New Zealand,agree,high
Sky Stadium,1,,New Zealand,New Zealand,agree,high
Cambusdoon New Ground,1,Ayr,Scotland,Scotland,uk,high
Sunrise Sports Club,1,,Zimbabwe,Zimbabwe,agree,high
Khettarama Stadium,1,Colombo,Sri Lanka,Sri Lanka,agree,high
Harlequins,1,Durban,South Africa,South Africa,agree,high
Grange Cricket Club Ground,1,Edinburgh,Scotland,Scotland,uk,high
Arnos Vale Ground,1,Kingstown,West Indies,Saint Vincent and the Grenadines,geo-only,medium
Vidarbha C.A. Ground,1,Nagpur,Sri Lanka,India,geo-only,medium
Daren Sammy National Cricket Stadium,1,,West Indies,Saint Lucia,geo-miss,medium
Darren Sammy National Cricket Stadium,1,Gros Islet,England,Saint Lucia,geo-only,medium
Daren Sammy National Cricket Stadium,1,Gros Islet,West Indies,Saint Lucia,geo-only,medium
Queen's Park Oval,1,Port of Spain,West Indies,Trinidad and Tobago,geo-only,medium
Nehru Stadium,1,Pune,New Zealand,India,geo-only,medium
Old Hararians,1,,Pakistan,Zimbabwe,geo-only,medium
Toronto Cricket,1,Toronto,Ireland,Canada,geo-only,medium
Wanderers Cricket Ground,1,Windhoek,Oman,Namibia,geo-only,medium
MA Aziz Stadium,1,Chattogram,England,Bangladesh,geo-only,medium
Louth Cricket Club,1,Louth,Pakistan,Ireland,geo-miss,medium
National Cricket Stadium,1,St George's,West Indies,Grenada,geo-miss,medium
Nahar Singh Stadium,1,,New Zealand,India,geo-only,medium
Chilaw Marians Cricket Club Ground,1,Chilaw,Sri Lanka,Sri Lanka,geo-miss,medium
Ruaraka Sports Club Ground,1,Nairobi,Bermuda,Kenya,geo-only,medium
Riverway Stadium,1,,Zimbabwe,Australia,geo-only,medium
Niranjan Shah Stadium,1,,New Zealand,India,geo-miss,medium
Marrara Cricket Ground,1,,Bangladesh,Australia,geo-only,medium
Mulpani Cricket Ground,1,Kathmandu,United Arab Emirates,Nepal,geo-only,medium
Niaz Stadium,1,,Zimbabwe,Pakistan,geo-miss,medium
YSD-UKM Cricket Oval,1,,United Arab Emirates,Malaysia,geo-only,medium
Affies Park,1,Windhoek,Papua New Guinea,Namibia,geo-only,medium
Titwood,1,Glasgow,India,Scotland,geo-only,medium
Sir Paul Getty's Ground,1,Wormsley,India,England,geo-miss,medium
Sinovich Park,1,Pretoria,Pakistan,South Africa,geo-only,medium
Sheikhupura Stadium,1,Sheikhupura,Zimbabwe,Pakistan,geo-miss,medium
Sher-e-Bangla National Cricket Stadium,1,Dhaka,Sri Lanka,Bangladesh,geo-miss,medium
Karen Rolton Oval,1,Adelaide,New Zealand,Australia,geo-only,medium
Southend Club Cricket Stadium,1,Karachi,Bangladesh,Pakistan,geo-only,medium
Bready Cricket Club,1,,Zimbabwe,Ireland,geo-miss,medium
Brisbane Cricket Ground,1,Brisbane,Sri Lanka,Australia,geo-only,medium
Greenfield International Stadium,1,,Sri Lanka,India,geo-only,medium
Stellenbosch University 2,1,Stellenbosch,Pakistan,South Africa,geo-miss,medium
Indian Petrochemicals Corporation Limited Sports Complex Ground,1,Vadodara,West Indies,India,geo-only,medium
Haslegrave Ground,1,Loughborough,Pakistan,England,geo-only,medium
Gymkhana Club Ground,1,,Sri Lanka,Kenya,geo-only,medium
Goodyear Park,1,Bloemfontein,Zimbabwe,South Africa,geo-only,medium
FTZ Sports Complex (BOI),1,Katunayake,Sri Lanka,Sri Lanka,geo-miss,medium
Greenfield International Stadium,1,Thiruvananthapuram,West Indies,India,geo-only,medium
Grange Cricket Club,1,Edinburgh,Sri Lanka,Scotland,geo-only,medium
Bir Sreshtho Flight Lieutenant Matiur Rahman Stadium,1,,New Zealand,Bangladesh,geo-only,medium
Barsapara Cricket Stadium,1,Guwahati,West Indies,India,geo-only,medium
Boland Bank Park,1,Paarl,West Indies,South Africa,geo-only,medium
Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium,1,Visakhapatnam,Sri Lanka,India,geo-only,medium
Welagedara Stadium,2,Kurunegala,India,Sri Lanka,geo-only,medium
Sportpark Het Schootsveld,2,Deventer,Netherlands,The Netherlands,geo-only,medium
VRA Ground,2,Amstelveen,Ireland,The Netherlands,geo-only,medium
VRA Cricket Ground,2,Amstelveen,India,The Netherlands,geo-only,medium
Queen's Park Oval,2,Port of Spain,West Indies,Trinidad and Tobago,geo-only,medium
Queen's Park (New),2,St George's,Australia,Grenada,geo-miss,medium
Peter Burge Oval,2,Brisbane,Pakistan,Australia,geo-only,medium
Nehru Stadium,2,,India,India,geo-miss,medium
Narayanganj Osmani Stadium,2,Narayanganj,Australia,Bangladesh,geo-miss,medium
Choice Moosa Stadium,2,,Scotland,United States,geo-only,medium
National Cricket Stadium,2,St George's,West Indies,Grenada,geo-miss,medium
M.Chinnaswamy Stadium,2,Bengaluru,Australia,India,geo-only,medium
Maharaja Yadavindra Singh International Cricket Stadium,2,,Australia,India,geo-miss,medium
Sedgars Park,2,Potchefstroom,Zimbabwe,South Africa,geo-only,medium
Mombasa Sports Club Ground,2,Mombasa,Ireland,Kenya,geo-miss,medium
De Beers Diamond Oval,2,,Pakistan,South Africa,geo-only,medium
Dubai Sports City Cricket Stadium,2,Dubai,Australia,United Arab Emirates,geo-miss,medium
Sheikh Kamal International Cricket Stadium,2,Cox's Bazar,Bangladesh,Bangladesh,geo-miss,medium
Maharani Usharaje Trust Cricket Ground,2,Gwalior,England,India,geo-only,medium
Arnos Vale Ground,2,Kingstown,Bangladesh,Saint Vincent and the Grenadines,geo-only,medium
Stellenbosch University 1,2,Stellenbosch,South Africa,South Africa,geo-miss,medium
Bradman Oval,2,Bowral,Australia,Australia,geo-miss,medium
Brisbane Cricket Ground,2,Brisbane,India,Australia,geo-only,medium
Cambusdoon New Ground,2,,Namibia,Scotland,geo-only,medium
Antigua Recreation Ground,2,,Zimbabwe,Antigua and Barbuda,geo-miss,medium
Three Ws Oval,3,Bridgetown,South Africa,Barbados,geo-miss,medium
Zohur Ahmed Chowdhury Stadium,3,Chattogram,Bangladesh,Bangladesh,geo-miss,medium
Zayed Cricket Stadium,3,,Ireland,United Arab Emirates,geo-only,medium
Boland Bank Park,3,,Netherlands,South Africa,geo-only,medium
Sir Vivian Richards Stadium,3,North Sound,Sri Lanka,Antigua and Barbuda,geo-miss,medium
Sir Vivian Richards Stadium,3,North Sound,West Indies,Antigua and Barbuda,geo-miss,medium
Bready Cricket Club,3,Magheramason,Ireland,Ireland,geo-miss,medium
Desert Springs Cricket Ground,3,,Ireland,Spain,geo-miss,medium
ICC Global Cricket Academy,3,Dubai,Ireland,United Arab Emirates,geo-only,medium
Colombo Cricket Club Ground,3,Colombo,Ireland,Sri Lanka,geo-miss,medium
Saurashtra Cricket Association Stadium,3,Rajkot,India,India,geo-miss,medium
Chittagong Divisional Stadium,3,Chattogram,Bangladesh,Bangladesh,geo-miss,medium
Queen's Park Oval,3,Port of Spain,India,Trinidad and Tobago,geo-only,medium
North-West University No1 Ground,3,Potchefstroom,India,South Africa,geo-only,medium
